Keuwl Accelerometer Data File
2017-11-22 11-23-54

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
2.5699208,-0.033129,-0.075127,0.961570,0.965069,4.880620,246.203629
2.5798569,-0.027319,-0.067278,0.965443,0.968170,4.301247,247.899872
2.5899215,-0.034149,-0.074108,0.964526,0.967971,4.835658,245.259857
2.6011999,-0.031193,-0.070234,0.961570,0.964636,4.569433,246.052948
2.6106102,-0.034149,-0.073191,0.961570,0.964956,4.801181,244.987473
2.6198173,-0.032212,-0.070234,0.968400,0.971477,4.561968,245.362122
2.6302018,-0.028236,-0.069215,0.965443,0.968333,4.427486,247.806854
2.6398234,-0.032212,-0.072171,0.962589,0.965828,4.693774,245.947464
2.6547692,-0.028236,-0.064424,0.970336,0.972883,4.146190,246.332581
2.6598041,-0.028236,-0.064424,0.970336,0.972883,4.146190,246.332581
2.6720893,-0.033129,-0.074108,0.965443,0.968850,4.806238,245.913315
2.6798444,-0.033129,-0.074108,0.965443,0.968850,4.806238,245.913315
2.6905789,-0.028236,-0.066361,0.969419,0.972098,4.254595,246.950287
2.6998098,-0.028236,-0.069215,0.970336,0.973212,4.405311,247.806854
2.7012169,-0.029256,-0.070234,0.968400,0.971384,4.492352,247.386047
2.7112172,-0.029256,-0.070234,0.968400,0.971384,4.492352,247.386047
2.7212169,-0.029256,-0.070234,0.968400,0.971384,4.492352,247.386047
2.7221987,-0.029256,-0.070234,0.968400,0.971384,4.492352,247.386047
2.7298098,-0.028236,-0.070234,0.964526,0.967492,4.487510,248.098297
2.7398193,-0.029256,-0.070234,0.974210,0.977176,4.465632,247.386047
2.7502425,-0.031193,-0.072171,0.967380,0.970570,4.646502,246.625839
2.7598689,-0.029256,-0.070234,0.962589,0.965591,4.519347,247.386047
2.7708759,-0.028236,-0.070234,0.972273,0.975215,4.451883,248.098297
2.7798452,-0.029256,-0.070234,0.963507,0.966506,4.515055,247.386047
2.7904615,-0.031193,-0.069215,0.967380,0.970355,4.487335,245.740692
2.7998319,-0.030173,-0.067278,0.967380,0.970186,4.358737,245.844482
2.8101563,-0.030173,-0.072171,0.962589,0.965762,4.645912,247.311218
2.8201363,-0.030173,-0.069215,0.970336,0.973270,4.449506,246.445923
2.8298178,-0.030173,-0.068298,0.963507,0.966395,4.431201,246.164581
2.8398116,-0.030173,-0.066361,0.968400,0.971139,4.304934,245.549408
2.8511822,-0.029256,-0.069215,0.959633,0.962570,4.477372,247.087173
2.8597996,-0.030173,-0.068298,0.966463,0.969343,4.417698,246.164581
2.8710995,-0.029256,-0.070234,0.962589,0.965591,4.519347,247.386047
2.8797910,-0.030173,-0.066361,0.963507,0.966260,4.326716,245.549408
2.8802867,-0.031193,-0.071254,0.965443,0.968572,4.606194,246.357727
2.8902867,-0.031193,-0.071254,0.965443,0.968572,4.606194,246.357727
2.9002867,-0.031193,-0.071254,0.965443,0.968572,4.606194,246.357727
2.9027653,-0.031193,-0.071254,0.965443,0.968572,4.606194,246.357727
2.9099321,-0.025382,-0.067278,0.968400,0.971066,4.246670,249.329880
2.9198759,-0.029256,-0.066361,0.964526,0.967249,4.300063,246.209229
2.9318931,-0.028236,-0.070234,0.967380,0.970337,4.474308,248.098297
2.9400499,-0.027319,-0.066361,0.965443,0.968107,4.251141,247.624298
2.9502881,-0.031193,-0.067278,0.967380,0.970218,4.383650,245.125854
2.9599032,-0.029256,-0.069215,0.963507,0.966432,4.459487,247.087173
2.9754632,-0.030173,-0.074108,0.963507,0.966823,4.747265,247.846176
2.9798133,-0.026300,-0.066361,0.970336,0.972958,4.207380,248.380920
2.9898088,-0.025382,-0.070234,0.967380,0.970258,4.414372,250.130478
3.0010991,-0.027319,-0.063405,0.969419,0.971874,4.073571,246.690323
3.0124960,-0.033129,-0.070234,0.962589,0.965716,4.612313,244.746841
3.0218611,-0.027319,-0.066361,0.963507,0.966175,4.259655,247.624298
3.0222950,-0.026300,-0.067278,0.964526,0.967227,4.283086,248.649017
3.0322950,-0.026300,-0.067278,0.964526,0.967227,4.283086,248.649017
3.0422950,-0.026300,-0.067278,0.964526,0.967227,4.283086,248.649017
3.0434711,-0.026300,-0.067278,0.967380,0.970073,4.270447,248.649017
3.0498219,-0.032212,-0.067278,0.967380,0.970252,4.409178,244.415466
3.0597916,-0.029256,-0.063405,0.967380,0.969897,4.128677,245.230698
3.0703714,-0.028236,-0.069215,0.972273,0.975143,4.396544,247.806854
3.0798364,-0.028236,-0.065341,0.972273,0.974875,4.187223,246.629028
3.0897934,-0.029256,-0.070234,0.967380,0.970368,4.497058,247.386047
3.0998518,-0.029256,-0.068298,0.967380,0.970229,4.391997,246.811737
3.1098917,-0.029256,-0.064424,0.965443,0.968033,4.191664,245.576538
3.1198189,-0.026300,-0.067278,0.971356,0.974038,4.253029,248.649017
3.1298087,-0.028236,-0.068298,0.962589,0.965422,4.390347,247.538193
3.1398194,-0.027319,-0.062385,0.970336,0.972723,4.014833,246.350983
3.1498442,-0.026300,-0.059531,0.961570,0.963770,3.872015,246.165085
3.1597836,-0.029256,-0.059531,0.971356,0.973618,3.906504,243.828735
3.1699634,-0.031193,-0.069215,0.971356,0.974318,4.469052,245.740692
3.1797943,-0.028236,-0.064424,0.969419,0.971968,4.150062,246.332581
3.1899028,-0.026300,-0.061468,0.967380,0.969688,3.953542,246.835815
3.1998658,-0.026300,-0.065341,0.972273,0.974821,4.143497,248.075409
3.2098930,-0.026300,-0.066361,0.970336,0.972958,4.207380,248.380920
3.2201285,-0.027319,-0.067278,0.971356,0.974066,4.275214,247.899872
3.2298682,-0.030173,-0.069215,0.969419,0.972355,4.453642,246.445923
3.2398369,-0.027319,-0.062385,0.969419,0.971808,4.018588,246.350983
3.2500017,-0.029256,-0.063405,0.962589,0.965119,4.149117,245.230698
3.2598176,-0.028236,-0.067278,0.970336,0.973076,4.300200,247.232361
3.2698007,-0.029256,-0.067278,0.964526,0.967312,4.349696,246.498260
3.2798257,-0.028236,-0.061468,0.969419,0.971776,3.991499,245.327377
3.2904725,-0.032212,-0.070234,0.966463,0.969547,4.571061,245.362122
3.3002293,-0.030173,-0.071254,0.968400,0.971486,4.568490,247.049179
3.3165796,-0.033129,-0.072171,0.964526,0.967790,4.706694,245.343002
3.3198454,-0.031193,-0.069215,0.960550,0.963546,4.519087,245.740692
3.3298225,-0.031193,-0.061468,0.965443,0.967901,4.083798,243.093903
